datetime,choke,psig,apsig,oil,gas,water
15/5/2021 21:00:00,38.0,935.0,320.0,698.88,4.98,23.616
15/5/2021 21:15:00,38.0,935.0,321.0,822.4559999999999,4.988,32.592
15/5/2021 21:30:00,38.0,940.0,318.0,661.3679999999999,5.07,26.208
15/5/2021 21:45:00,38.0,938.0,317.0,737.664,5.061,29.232
15/5/2021 22:00:00,38.0,940.0,319.0,661.3679999999999,5.078,26.208
15/5/2021 22:15:00,38.0,942.0,319.0,712.248,5.078,28.224
15/5/2021 22:30:00,38.0,940.0,316.0,771.5999999999999,5.074,30.576
15/5/2021 22:45:00,38.0,942.0,318.0,678.312,5.091,26.880000000000003
15/5/2021 23:00:00,38.0,940.0,318.0,747.36,5.091,28.224
15/5/2021 23:15:00,38.0,945.0,320.0,693.96,5.086,26.208
15/5/2021 23:30:00,38.0,942.0,321.0,800.712,5.094,30.24
15/5/2021 23:45:00,38.0,944.0,322.0,782.928,5.165,29.568
15/5/2021 00:00:00,38.0,945.0,324.0,720.648,5.182,27.216
16/5/2021 00:15:00,38.0,935.0,314.0,720.672,5.037,27.216
16/5/2021 00:30:00,38.0,940.0,315.0,710.136,5.045,18.96
16/5/2021 00:45:00,38.0,936.0,313.0,746.088,5.028,19.92
16/5/2021 01:00:00,38.0,938.0,314.0,809.0160000000001,5.037,21.6
16/5/2021 01:15:00,38.0,939.0,313.0,719.1120000000001,5.028,19.200000000000003
16/5/2021 01:30:00,38.0,943.0,316.0,715.4399999999999,5.053,23.04
16/5/2021 01:45:00,38.0,935.0,314.0,719.1120000000001,4.974,19.200000000000003
16/5/2021 02:00:00,38.0,925.0,310.0,737.856,4.962,19.68
16/5/2021 02:15:00,38.0,911.0,312.0,773.064,4.979,20.64
16/5/2021 02:30:00,38.0,937.0,322.0,777.0239999999999,5.186,16.512
16/5/2021 02:45:00,38.0,934.0,319.0,731.856,5.202,15.552
16/5/2021 03:00:00,38.0,932.0,318.0,777.0239999999999,5.194,16.512
16/5/2021 03:15:00,38.0,931.0,315.0,786.048,5.189,16.704
16/5/2021 03:30:00,38.0,928.0,317.0,786.048,5.206,16.704
16/5/2021 03:45:00,38.0,927.0,319.0,786.048,5.182,16.704
16/5/2021 04:00:00,38.0,928.0,317.0,795.096,5.175,16.896
